,CHD
% Below High,0.0943
% Held by Institutions,0.8844
52-Wk Range,['47.98 - 80.99']
Annual Dividend $,0.96
Annual Dividend %,0.013300000000000001
Ask,74.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.3
Bid,72.1
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,73.35
Day Change $,0.97
Day Change %,0.0134
Day High,73.67
Day Low,72.95
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",2.67
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.311
Last (size),15.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,18.0B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",27.15
Prev Close,72.38
Shares Outstanding,245.9M
Short Interest,0.0318
Today's Open,73.25
Volume,1254180.0
Volume 10-day Avg,1701220.0
Volume Past Day,(Light)
