,CHD
Price/Earnings (TTM),27.15346
Price/Sales (TTM),3.9743
Price/Book (MRQ),6.31266
Price/Cash Flow (TTM),20.84042
5yr Low,38.43
5yr High,80.99
5yr Avg Return,0.10763333333333333
EPS Growth 5yr,0.10172969999999999
Revenue Growth 5yr,0.0573332
Dividend Growth 5yr,0.07976670000000001
Short Int Current Month,7851319.0
Short Int Prev Month,7789609.0
Short Int Pct of Float,0.0318377
Days to Cover,5.50107
Float,245.3979
Shares Outstanding,245.8927
Institutions Holding Shares,1079.0
% Held by Institutions,0.8843810000000001
FCF Growth 5yr,0.07875699882623102
