,MSCI
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.08000000000000007
Growth 1yr High Est,0.14393939393939403
Growth 1yr Consensus Est,0.11196969696969705
Growth 2yr Low Est,0.09481481481481491
Growth 2yr High Est,0.13554585591009438
Growth 2yr Consensus Est,0.11518033536245464
Growth 5yr Low Est,0.19164092664092675
Growth 5yr High Est,0.22076924330678116
Growth 5yr Consensus Est,0.20620508497385395
Growth 5yr Actual/Est,0.19050092253154016
Growth 3yr Historic,0.1369898558211619
