,MSCI
Price/Earnings (TTM),53.54295
Price/Sales (TTM),17.42104
Price/Book (MRQ),
Price/Cash Flow (TTM),45.43644
5yr Low,56.87
5yr High,344.0
5yr Avg Return,0.34638333333333327
EPS Growth 5yr,0.3110098
Revenue Growth 5yr,0.09343
Dividend Growth 5yr,0.6952182
Short Int Current Month,1466103.0
Short Int Prev Month,1537479.0
Short Int Pct of Float,0.0177995
Days to Cover,2.1659
Float,80.93177
Shares Outstanding,83.5957
Institutions Holding Shares,889.0
% Held by Institutions,0.9384669999999999
FCF Growth 5yr,0.22169780744498166
