,MSCI
% Below High,0.030299999999999997
% Held by Institutions,0.9384999999999999
52-Wk Range,['206.82 - 344.00']
Annual Dividend $,2.72
Annual Dividend %,0.008100000000000001
Ask,334.9
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.0
Bid,307.0
Bid Size,200.0
Closing Price,333.58
Day Change $,-0.52
Day Change %,-0.0016
Day High,340.52
Day Low,332.0
Dividend Pay Date,2020-05-29 00:00:00
"EPS (TTM, GAAP)",6.24
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.48700000000000004
Last (size),4500.0
Last (time),6:30p ET 05/08/20
Market Cap,27.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",53.54
Prev Close,334.1
Shares Outstanding,83.6M
Short Interest,0.0178
Today's Open,338.37
Volume,414224.0
Volume 10-day Avg,530066.0
Volume Past Day,(Light)
