,MSFT
% Below High,0.0316
% Held by Institutions,0.7187
52-Wk Range,['119.01 - 190.70']
Annual Dividend $,2.04
Annual Dividend %,0.0111
Ask,184.75
Ask Size,1100.0
B/A Ratio,0.45454545454545453
B/A Size,500x1100
Beta,1.0
Bid,184.61
Bid Size,500.0
Closing Price,184.68
Day Change $,1.08
Day Change %,0.0059
Day High,185.0
Day Low,183.36
Dividend Pay Date,2020-06-11 00:00:00
"EPS (TTM, GAAP)",5.67
Ex-dividend,2020-05-20 00:00:00
Ex-dividend Date,05/20/20
Historical Volatility,0.401
Last (size),3.0
Last (time),4:15p ET 05/08/20
Market Cap,1.4T
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",32.39
Prev Close,183.6
Shares Outstanding,7.6B
Short Interest,0.0070999999999999995
Today's Open,184.98
Volume,30912638.0
Volume 10-day Avg,36793562.0
Volume Past Day,(Below Average)
