,MSFT
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,0.23903508771929838
Growth 1yr High Est,0.2467811158798281
Growth 1yr Consensus Est,0.24290810179956324
Growth 2yr Low Est,0.13898657040832174
Growth 2yr High Est,0.2137520037230466
Growth 2yr Consensus Est,0.17636928706568417
Growth 5yr Low Est,0.1614407823886166
Growth 5yr High Est,0.20745860077262934
Growth 5yr Consensus Est,0.18444969158062297
Growth 5yr Actual/Est,0.1732103121649215
Growth 3yr Historic,0.10088952777864824
