,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 6/2017,Positive Surprise,3.29,,,,,,,3.02,3.29,,
Year ending 6/2018,Neutral,3.88,,0.1793313069908815,3.78,,3.9,,3.84,3.88,0.1793313069908815,
Year ending 6/2019,Neutral,4.75,,0.22422680412371143,4.56,0.20634920634920628,4.66,0.19487179487179485,4.609999999999999,4.75,0.22422680412371143,0.20061050061050056
Year ending 6/2020,Neutral,,5.69,0.0,5.65,0.23903508771929838,5.81,0.2467811158798281,5.69,5.69,0.19789473684210535,0.24290810179956324
Year ending 6/2021,Neutral,,6.21,0.0,5.87,0.038938053097345104,6.86,0.1807228915662651,6.21,6.21,0.0913884007029877,0.1098304723318051
