,MSFT,Rating Since
newConstructs,2,2020-05-08
researchTeam,hold,2020-04-03
creditSuisse,outperform,2017-04-27
marketEdge opinion,long,2020-05-08
marketEdge,0,2020-05-08
cfra,4,2019-07-22
theStreet,buy,2018-04-27
ford,2,2020-05-01
