,MSFT
Price/Earnings (TTM),32.38552
Price/Sales (TTM),10.03843
Price/Book (MRQ),12.17041
Price/Cash Flow (TTM),24.91535
5yr Low,39.72
5yr High,190.7
5yr Avg Return,0.2666
EPS Growth 5yr,0.12548
Revenue Growth 5yr,0.0770326
Dividend Growth 5yr,0.1096289
Short Int Current Month,53310482.0
Short Int Prev Month,58762671.0
Short Int Pct of Float,0.0071104
Days to Cover,1.1278
Float,7475.252
Shares Outstanding,7583.44
Institutions Holding Shares,4553.0
% Held by Institutions,0.7186830000000001
FCF Growth 5yr,0.10999006848394907
