,PEP
Price/Earnings (TTM),25.94859
Price/Sales (TTM),2.73254
Price/Book (MRQ),13.84667
Price/Cash Flow (TTM),19.06286
5yr Low,76.48
5yr High,147.2
5yr Avg Return,0.06603333333333333
EPS Growth 5yr,0.0401325
Revenue Growth 5yr,0.0014296
Dividend Growth 5yr,0.0841147
Short Int Current Month,11635085.0
Short Int Prev Month,10502394.0
Short Int Pct of Float,0.0083882
Days to Cover,2.16332
Float,1385.528
Shares Outstanding,1387.5
Institutions Holding Shares,3074.0
% Held by Institutions,0.7020919999999999
FCF Growth 5yr,-0.07629627333474173
