,PEP
Next Earnings Announcement,2020-07-09 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.09454545454545449
Growth 1yr High Est,0.04693140794223827
Growth 1yr Consensus Est,-0.02380702330160811
Growth 2yr Low Est,-0.005104052573932094
Growth 2yr High Est,0.06656915224698123
Growth 2yr Consensus Est,0.03073254983652457
Growth 5yr Low Est,0.015028707721158968
Growth 5yr High Est,0.046698891692978584
Growth 5yr Consensus Est,0.030863799707068776
Growth 5yr Actual/Est,0.03203726902812129
Growth 3yr Historic,0.014812443837874723
