,PEP
% Below High,0.08810000000000001
% Held by Institutions,0.7021
52-Wk Range,['101.42 - 147.20']
Annual Dividend $,4.09
Annual Dividend %,0.0311
Ask,134.63
Ask Size,300.0
B/A Ratio,3.3333333333333335
B/A Size,1000x300
Beta,0.6
Bid,134.26
Bid Size,1000.0
Closing Price,134.23
Day Change $,2.68
Day Change %,0.0204
Day High,135.16
Day Low,132.46
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",5.17
Ex-dividend,2020-06-04 00:00:00
Ex-dividend Date,06/04/20
Historical Volatility,0.35700000000000004
Last (size),2.0
Last (time),4:15p ET 05/08/20
Market Cap,186.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",25.95
Prev Close,131.55
Shares Outstanding,1.4B
Short Interest,0.0084
Today's Open,133.07
Volume,4209378.0
Volume 10-day Avg,5043981.0
Volume Past Day,(Below Average)
