,PEAK
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.8333333333333335
Growth 2yr High Est,0.0
Growth 2yr Consensus Est,0.41666666666666674
Growth 5yr Low Est,0.8333333333333335
Growth 5yr High Est,0.0
Growth 5yr Consensus Est,0.41666666666666674
Growth 5yr Actual/Est,0.6151582792207793
Growth 3yr Historic,0.1464082792207793
