,PEAK
Price/Earnings (TTM),48.38002
Price/Sales (TTM),6.08143
Price/Book (MRQ),1.80333
Price/Cash Flow (TTM),12.86438
5yr Low,18.63
5yr High,40.9
5yr Avg Return,-0.05641666666666666
EPS Growth 5yr,-0.3057413
Revenue Growth 5yr,0.040618100000000004
Dividend Growth 5yr,-0.07453280000000001
Short Int Current Month,7553000.0
Short Int Prev Month,8682579.0
Short Int Pct of Float,0.0149626
Days to Cover,1.82905
Float,537.4396
Shares Outstanding,538.2703
Institutions Holding Shares,835.0
% Held by Institutions,1.010514
FCF Growth 5yr,2.951366237647521
