,BA
% Above Low,0.4993
% Held by Institutions,0.6456999999999999
52-Wk Range,['89.00 - 391.00']
Annual Dividend $,
Annual Dividend %,
Ask,133.23
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.5
Bid,133.04
Bid Size,300.0
Change Since Close,-0.21| |(-0.16%)
Closing Price,133.44
Day Change $,4.79
Day Change %,0.037200000000000004
Day High,135.55
Day Low,131.56
Dividend Pay Date,03/06/20
"EPS (TTM, GAAP)",-6.05
Ex-dividend Date,02/13/20
Historical Volatility,0.7390000000000001
Last (size),50.0
Last (time),6:30p ET 05/08/20
Last Trade,133.23
Market Cap,75.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,128.65
Shares Outstanding,564.3M
Short Interest,0.0259
Today's Open,132.57
Volume,22733867.0
Volume 10-day Avg,35117491.0
Volume Past Day,(Light)
