,BA
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.7061855670103092
Growth 2yr High Est,9.113333333333333
Growth 2yr Consensus Est,4.203573883161512
Growth 5yr Low Est,-0.7061855670103092
Growth 5yr High Est,9.113333333333333
Growth 5yr Consensus Est,4.203573883161512
Growth 5yr Actual/Est,-0.9825941131083475
Growth 3yr Historic,-0.22957012370107283
