,BA
Price/Earnings (TTM),
Price/Sales (TTM),0.92122
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,89.0
5yr High,446.01
5yr Avg Return,0.08468333333333336
EPS Growth 5yr,
Revenue Growth 5yr,-0.0134552
Dividend Growth 5yr,
Short Int Current Month,14612267.0
Short Int Prev Month,11983234.0
Short Int Pct of Float,0.0259384
Days to Cover,0.3962
Float,563.5836
Shares Outstanding,564.3253
Institutions Holding Shares,2350.0
% Held by Institutions,0.645676
FCF Growth 5yr,-0.11010417921781976
