,EXC
% Above Low,0.2783
% Held by Institutions,0.7909
52-Wk Range,['29.28 - 51.18']
Annual Dividend $,1.53
Annual Dividend %,0.0437
Ask,37.38
Ask Size,6700.0
B/A Ratio,0.014925373134328358
B/A Size,100x6700
Beta,0.5
Bid,37.04
Bid Size,100.0
Closing Price,37.43
Day Change $,2.39
Day Change %,0.0682
Day High,37.48
Day Low,35.18
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",3.01
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.455
Last (size),50.0
Last (time),3:59p ET 05/08/20
Market Cap,36.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",11.63
Prev Close,35.04
Shares Outstanding,973.9M
Short Interest,0.0105
Today's Open,35.29
Volume,8152826.0
Volume 10-day Avg,5544296.0
Volume Past Day,(Heavy Day)
