,EXC
Price/Earnings (TTM),11.63026
Price/Sales (TTM),0.99098
Price/Book (MRQ),1.05803
Price/Cash Flow (TTM),4.01488
5yr Low,25.09
5yr High,51.18
5yr Avg Return,0.03218333333333334
EPS Growth 5yr,0.0992044
Revenue Growth 5yr,0.0465635
Dividend Growth 5yr,0.031785100000000004
Short Int Current Month,10202571.0
Short Int Prev Month,10028367.0
Short Int Pct of Float,0.010504
Days to Cover,1.81495
Float,971.4203
Shares Outstanding,973.9299
Institutions Holding Shares,1265.0
% Held by Institutions,0.790907
FCF Growth 5yr,-0.4053342888995065
