,EXC
Next Earnings Announcement,
Growth Analysts,18.0
Growth 1yr Low Est,-0.08970099667774067
Growth 1yr High Est,0.0031645569620253333
Growth 1yr Consensus Est,-0.04326821985785767
Growth 2yr Low Est,-0.055799403448359375
Growth 2yr High Est,-0.009458730982709718
Growth 2yr Consensus Est,-0.032629067215534546
Growth 5yr Low Est,0.01143763718212476
Growth 5yr High Est,0.03828990770033211
Growth 5yr Consensus Est,0.024863772441228435
Growth 5yr Actual/Est,0.0375556487664678
Growth 3yr Historic,0.05801282051282053
