,APTV,Rating Since
newConstructs,3,2020-05-08
researchTeam,reduce,2020-05-07
cfra,3,2019-08-01
theStreet,sell,2020-05-07
creditSuisse,outperform,2019-06-26
marketEdge opinion,neutralfromavoid,2020-05-01
marketEdge,2,2020-05-01
ford,2,2020-04-09
