,APTV
Price/Earnings (TTM),7.19661
Price/Sales (TTM),1.18686
Price/Book (MRQ),3.34422
Price/Cash Flow (TTM),5.47073
5yr Low,29.22
5yr High,104.99
5yr Avg Return,0.010566666666666674
EPS Growth 5yr,-0.0236841
Revenue Growth 5yr,-0.015191
Dividend Growth 5yr,
Short Int Current Month,5043355.0
Short Int Prev Month,3796859.0
Short Int Pct of Float,0.0198654
Days to Cover,2.08233
Float,253.6112
Shares Outstanding,254.8759
Institutions Holding Shares,881.0
% Held by Institutions,0.980529
FCF Growth 5yr,-0.047344399161164216
