,UNH
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,-0.04018754186202278
Growth 1yr High Est,0.09867549668874176
Growth 1yr Consensus Est,0.02924397741335949
Growth 2yr Low Est,0.07411418440743944
Growth 2yr High Est,0.13704118414907251
Growth 2yr Consensus Est,0.10557768427825598
Growth 5yr Low Est,0.15015394903690527
Growth 5yr High Est,0.18157290361158723
Growth 5yr Consensus Est,0.16586342632424625
Growth 5yr Actual/Est,0.1656185018543434
Growth 3yr Historic,0.113045829812431
