,AEE
Next Earnings Announcement,2020-05-11 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.006153846153846176
Growth 1yr High Est,0.04477611940298498
Growth 1yr Consensus Est,0.02546498277841558
Growth 2yr Low Est,0.06270995059985884
Growth 2yr High Est,0.07381663113006387
Growth 2yr Consensus Est,0.06826329086496136
Growth 5yr Low Est,0.07756709651205063
Growth 5yr High Est,0.08318451929906404
Growth 5yr Consensus Est,0.08037580790555733
Growth 5yr Actual/Est,0.0761917325507277
Growth 3yr Historic,0.04621950068679159
