,AEE
% Above Low,0.20629999999999998
% Held by Institutions,0.7258
52-Wk Range,['58.74 - 87.66']
Annual Dividend $,1.98
Annual Dividend %,0.028399999999999998
Ask,71.1
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.3
Bid,70.0
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,70.86
Day Change $,1.21
Day Change %,0.0174
Day High,71.01
Day Low,69.91
Dividend Pay Date,2020-03-31 00:00:00
"EPS (TTM, GAAP)",3.35
Ex-dividend,2020-03-10 00:00:00
Ex-dividend Date,03/10/20
Historical Volatility,0.40700000000000003
Last (size),350.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,17.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",20.79
Prev Close,69.65
Shares Outstanding,246.7M
Short Interest,0.0516
Today's Open,70.41
Volume,1219469.0
Volume 10-day Avg,1578511.0
Volume Past Day,(Light)
