,HD
Next Earnings Announcement,2020-05-19 00:00:00
Growth Analysts,35.0
Growth 1yr Low Est,-0.15054835493519436
Growth 1yr High Est,0.045142296368989365
Growth 1yr Consensus Est,-0.0527030292831025
Growth 2yr Low Est,0.00043004788451556086
Growth 2yr High Est,0.07609227494505799
Growth 2yr Consensus Est,0.038261161414786776
Growth 5yr Low Est,0.09624025025435332
Growth 5yr High Est,0.12412697389810146
Growth 5yr Consensus Est,0.11018361207622739
Growth 5yr Actual/Est,0.10703198830634006
Growth 3yr Historic,0.09053441746612201
