,HD
Price/Earnings (TTM),22.38718
Price/Sales (TTM),2.23594
Price/Book (MRQ),
Price/Cash Flow (TTM),18.20475
5yr Low,92.17
5yr High,247.36
5yr Avg Return,0.14531666666666668
EPS Growth 5yr,0.16801929999999998
Revenue Growth 5yr,0.0579287
Dividend Growth 5yr,0.2367679
Short Int Current Month,10336238.0
Short Int Prev Month,9679493.0
Short Int Pct of Float,0.009636
Days to Cover,1.76097
Float,1072.842
Shares Outstanding,1074.116
Institutions Holding Shares,3148.0
% Held by Institutions,0.6887050000000001
FCF Growth 5yr,0.09166848964029028
