,NEE
% Below High,0.1892
% Held by Institutions,0.7659999999999999
52-Wk Range,['174.80 - 283.35']
Annual Dividend $,5.6
Annual Dividend %,0.024900000000000002
Ask,235.7
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.2
Bid,229.5
Bid Size,300.0
Closing Price,229.73
Day Change $,5.25
Day Change %,0.023399999999999997
Day High,230.63
Day Low,225.74
Dividend Pay Date,2020-03-16 00:00:00
"EPS (TTM, GAAP)",7.34
Ex-dividend,2020-02-27 00:00:00
Ex-dividend Date,02/27/20
Historical Volatility,0.385
Last (size),13.0
Last (time),6:30p ET 05/08/20
Market Cap,112.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",30.58
Prev Close,224.48
Shares Outstanding,489.5M
Short Interest,0.0123
Today's Open,227.39
Volume,2827593.0
Volume 10-day Avg,2419532.0
Volume Past Day,(Above Average)
