,NEE
Price/Earnings (TTM),30.58273
Price/Sales (TTM),5.5651
Price/Book (MRQ),3.01543
Price/Cash Flow (TTM),14.28204
5yr Low,93.74
5yr High,283.35
5yr Avg Return,0.15991666666666665
EPS Growth 5yr,0.072461
Revenue Growth 5yr,0.0244277
Dividend Growth 5yr,0.1151015
Short Int Current Month,6021332.0
Short Int Prev Month,6386525.0
Short Int Pct of Float,0.0123308
Days to Cover,2.08046
Float,488.5523
Shares Outstanding,489.45
Institutions Holding Shares,2221.0
% Held by Institutions,0.766014
FCF Growth 5yr,0.36948441364136586
