,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2017,Neutral,6.7,,,6.65,,6.9,,6.775,6.7,,
Year ending 12/2018,Neutral,7.7,,0.14925373134328357,7.7,0.1578947368421053,7.83,0.13478260869565206,7.765000000000001,7.7,0.14925373134328357,0.14633867276887869
Year ending 12/2019,Neutral,8.37,,0.08701298701298699,8.22,0.06753246753246755,8.52,0.08812260536398453,8.370000000000001,8.37,0.08701298701298699,0.07782753644822604
Year ending 12/2020,Neutral,,9.08,0.0,8.89,0.08150851581508523,9.23,0.08333333333333348,9.08,9.08,0.08482676224611718,0.08242092457420935
Year ending 12/2021,Neutral,,9.86,0.0,9.7,0.0911136107986501,10.05,0.08884073672806059,9.86,9.86,0.08590308370044042,0.08997717376335534
