,PFG
Next Earnings Announcement,2020-07-27 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.16666666666666663
Growth 1yr High Est,-0.04247787610619469
Growth 1yr Consensus Est,-0.10457227138643066
Growth 2yr Low Est,-0.0007246376811593236
Growth 2yr High Est,0.06563721721492483
Growth 2yr Consensus Est,0.03245628976688275
Growth 5yr Low Est,0.016568866453437497
Growth 5yr High Est,0.052313425155510934
Growth 5yr Consensus Est,0.034441145804474216
Growth 5yr Actual/Est,0.03465066752859028
Growth 3yr Historic,0.02656595338557366
