,PFG
Price/Earnings (TTM),8.53864
Price/Sales (TTM),0.61317
Price/Book (MRQ),0.80934
Price/Cash Flow (TTM),8.96086
5yr Low,23.31
5yr High,75.59
5yr Avg Return,-0.005783333333333337
EPS Growth 5yr,0.059302799999999996
Revenue Growth 5yr,0.09032870000000001
Dividend Growth 5yr,0.1123701
Short Int Current Month,3082912.0
Short Int Prev Month,3564362.0
Short Int Pct of Float,0.011317200000000001
Days to Cover,1.46377
Float,272.9757
Shares Outstanding,273.8678
Institutions Holding Shares,799.0
% Held by Institutions,0.7362860000000001
FCF Growth 5yr,0.055402102137663056
