,PFG
% Above Low,0.6392
% Held by Institutions,0.7363
52-Wk Range,['23.31 - 60.81']
Annual Dividend $,2.24
Annual Dividend %,0.0617
Ask,38.69
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,37.5
Bid Size,100.0
Closing Price,38.21
Day Change $,1.92
Day Change %,0.0529
Day High,38.31
Day Low,36.58
Dividend Pay Date,2020-06-26 00:00:00
"EPS (TTM, GAAP)",4.47
Ex-dividend,2020-05-29 00:00:00
Ex-dividend Date,05/29/20
Historical Volatility,0.561
Last (size),1.0
Last (time),4:00p ET 05/08/20
Market Cap,10.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.54
Prev Close,36.29
Shares Outstanding,273.9M
Short Interest,0.0113
Today's Open,37.24
Volume,1830309.0
Volume 10-day Avg,2517775.0
Volume Past Day,(Light)
