,HCA
% Below High,0.2899
% Held by Institutions,0.7121999999999999
52-Wk Range,['58.38 - 151.97']
Annual Dividend $,
Annual Dividend %,
Ask,108.43
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.3
Bid,106.0
Bid Size,100.0
Closing Price,107.92
Day Change $,5.38
Day Change %,0.0525
Day High,108.12
Day Low,104.08
Dividend Pay Date,03/31/20
"EPS (TTM, GAAP)",8.79
Ex-dividend Date,02/28/20
Historical Volatility,0.544
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,36.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.67
Prev Close,102.54
Shares Outstanding,337.6M
Short Interest,0.0195
Today's Open,104.5
Volume,1694612.0
Volume 10-day Avg,2251449.0
Volume Past Day,(Light)
