,HCA
Price/Earnings (TTM),11.66907
Price/Sales (TTM),0.66988
Price/Book (MRQ),
Price/Cash Flow (TTM),5.48383
5yr Low,43.91
5yr High,151.97
5yr Avg Return,0.08910000000000001
EPS Growth 5yr,0.1930963
Revenue Growth 5yr,0.0681611
Dividend Growth 5yr,
Short Int Current Month,5153546.0
Short Int Prev Month,4328060.0
Short Int Pct of Float,0.0194844
Days to Cover,1.70931
Float,264.9272
Shares Outstanding,337.6189
Institutions Holding Shares,1028.0
% Held by Institutions,0.712173
FCF Growth 5yr,0.09246641867993766
