,VTR
Next Earnings Announcement,
Growth Analysts,11.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.55
Growth 2yr High Est,0.13888888888888884
Growth 2yr Consensus Est,-0.2055555555555556
Growth 5yr Low Est,-0.55
Growth 5yr High Est,0.13888888888888884
Growth 5yr Consensus Est,-0.2055555555555556
Growth 5yr Actual/Est,-0.19812456168291398
Growth 3yr Historic,-0.16802422723475352
