,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2017,Positive Surprise,3.78,,,,,,,3.32,3.78,,
Year ending 12/2018,Negative Surprise,1.14,,-0.6984126984126984,,,,,1.34,1.14,-0.6984126984126984,
Year ending 12/2019,Negative Surprise,1.17,,0.026315789473684292,,,,,1.43,1.17,0.026315789473684292,
Year ending 12/2020,Neutral,,0.69,0.0,0.4,,1.08,,0.69,0.69,-0.41025641025641024,
Year ending 12/2021,Neutral,,0.89,0.0,0.18,-0.55,1.23,0.13888888888888884,0.89,0.89,0.2898550724637683,-0.2055555555555556
