,VTR
% Above Low,1.2555
% Held by Institutions,0.8941
52-Wk Range,['13.35 - 75.40']
Annual Dividend $,3.17
Annual Dividend %,0.11710000000000001
Ask,30.4
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,1.1
Bid,30.0
Bid Size,200.0
Closing Price,30.1
Day Change $,3.02
Day Change %,0.1115
Day High,30.32
Day Low,26.68
Dividend Pay Date,2020-04-14 00:00:00
"EPS (TTM, GAAP)",1.11
Ex-dividend,2020-03-31 00:00:00
Ex-dividend Date,03/31/20
Historical Volatility,0.7809999999999999
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,11.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",38.56
Prev Close,27.08
Shares Outstanding,373.1M
Short Interest,0.0189
Today's Open,28.0
Volume,5577930.0
Volume 10-day Avg,3771308.0
Volume Past Day,(Heavy Day)
