,LKQ
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.4155844155844156
Growth 1yr High Est,-0.18220338983050843
Growth 1yr Consensus Est,-0.298893902707462
Growth 2yr Low Est,0.025541125541125476
Growth 2yr High Est,0.07211074031790643
Growth 2yr Consensus Est,0.04882593292951595
Growth 5yr Low Est,0.07056626169529392
Growth 5yr High Est,0.091114893968477
Growth 5yr Consensus Est,0.08084057783188546
Growth 5yr Actual/Est,0.0864111074418511
Growth 3yr Historic,0.06177134946079865
