,LKQ
Price/Earnings (TTM),13.21343
Price/Sales (TTM),0.61736
Price/Book (MRQ),1.5449
Price/Cash Flow (TTM),8.57677
5yr Low,13.31
5yr High,43.86
5yr Avg Return,0.04585
EPS Growth 5yr,0.06878000000000001
Revenue Growth 5yr,0.1315966
Dividend Growth 5yr,
Short Int Current Month,4382056.0
Short Int Prev Month,4540548.0
Short Int Pct of Float,0.014572
Days to Cover,1.68529
Float,297.116
Shares Outstanding,303.9431
Institutions Holding Shares,760.0
% Held by Institutions,0.9679559999999999
FCF Growth 5yr,0.20513588516404058
