,LKQ
% Below High,0.2826
% Held by Institutions,0.968
52-Wk Range,['13.31 - 36.63']
Annual Dividend $,
Annual Dividend %,
Ask,26.45
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,1.7
Bid,25.3
Bid Size,200.0
Closing Price,26.28
Day Change $,1.08
Day Change %,0.0429
Day High,26.39
Day Low,25.72
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.91
Ex-dividend Date,No dividend
Historical Volatility,0.605
Last (size),1.0
Last (time),3:59p ET 05/08/20
Market Cap,8.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.21
Prev Close,25.2
Shares Outstanding,303.9M
Short Interest,0.0146
Today's Open,25.72
Volume,2126278.0
Volume 10-day Avg,3322725.0
Volume Past Day,(Light)
