,NTRS
Price/Earnings (TTM),11.03475
Price/Sales (TTM),2.32725
Price/Book (MRQ),1.53914
Price/Cash Flow (TTM),8.03351
5yr Low,54.38
5yr High,115.61
5yr Avg Return,0.022883333333333325
EPS Growth 5yr,0.1483333
Revenue Growth 5yr,0.0837276
Dividend Growth 5yr,0.13865249999999998
Short Int Current Month,6326102.0
Short Int Prev Month,6048431.0
Short Int Pct of Float,0.030475
Days to Cover,4.02505
Float,206.7446
Shares Outstanding,208.052
Institutions Holding Shares,889.0
% Held by Institutions,0.834815
FCF Growth 5yr,0.106739459413785
