,NTRS
% Above Low,0.2525
% Held by Institutions,0.8348
52-Wk Range,['60.67 - 110.48']
Annual Dividend $,2.8
Annual Dividend %,0.0379
Ask,77.05
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,72.19
Bid Size,100.0
Closing Price,75.99
Day Change $,2.05
Day Change %,0.0277
Day High,76.13
Day Low,74.42
Dividend Pay Date,2020-07-01 00:00:00
"EPS (TTM, GAAP)",6.7
Ex-dividend,2020-06-11 00:00:00
Ex-dividend Date,06/11/20
Historical Volatility,0.459
Last (size),9.0
Last (time),4:00p ET 05/08/20
Market Cap,15.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.03
Prev Close,73.94
Shares Outstanding,208.1M
Short Interest,0.0305
Today's Open,75.55
Volume,1271926.0
Volume 10-day Avg,1060155.0
Volume Past Day,(Above Average)
