,NTRS
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.25303030303030305
Growth 1yr High Est,-0.15306122448979598
Growth 1yr Consensus Est,-0.2030457637600495
Growth 2yr Low Est,-0.20055166267133812
Growth 2yr High Est,-0.021453159577083825
Growth 2yr Consensus Est,-0.11100241112421097
Growth 5yr Low Est,-0.00031776759255860987
Growth 5yr High Est,0.09178451929789971
Growth 5yr Consensus Est,0.04573337585267055
Growth 5yr Actual/Est,0.05947511058632843
Growth 3yr Historic,0.10286223842739384
