,COP
Price/Earnings (TTM),13.28502
Price/Sales (TTM),1.54704
Price/Book (MRQ),1.45273
Price/Cash Flow (TTM),4.71178
5yr Low,20.84
5yr High,80.24
5yr Avg Return,-0.046783333333333336
EPS Growth 5yr,0.0679682
Revenue Growth 5yr,-0.0914082
Dividend Growth 5yr,-0.1401304
Short Int Current Month,16169463.0
Short Int Prev Month,13726009.0
Short Int Pct of Float,0.0150305
Days to Cover,1.52238
Float,1067.598
Shares Outstanding,1072.425
Institutions Holding Shares,1908.0
% Held by Institutions,0.741155
FCF Growth 5yr,-1.1873338388247325
