,COP
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-1.9104046242774566
Growth 1yr High Est,-1.04
Growth 1yr Consensus Est,-1.4752023121387283
Growth 2yr Low Est,-1.1377419946784109
Growth 2yr High Est,-12.23875
Growth 2yr Consensus Est,-6.688245997339205
Growth 5yr Low Est,1.709276037685647
Growth 5yr High Est,-4.9232965686274515
Growth 5yr Consensus Est,-1.6070102654709018
Growth 5yr Actual/Est,0.9243738841478437
Growth 3yr Historic,1.5893538913362704
