,NKE
% Below High,0.1435
% Held by Institutions,0.8281999999999999
52-Wk Range,['60.00 - 105.62']
Annual Dividend $,0.98
Annual Dividend %,0.0111
Ask,90.95
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,0.8
Bid,90.53
Bid Size,1000.0
Closing Price,90.46
Day Change $,1.9
Day Change %,0.0215
Day High,90.64
Day Low,89.59
Dividend Pay Date,2020-04-01 00:00:00
"EPS (TTM, GAAP)",2.7
Ex-dividend,2020-02-28 00:00:00
Ex-dividend Date,02/28/20
Historical Volatility,0.38
Last (size),22.0
Last (time),6:30p ET 05/08/20
Market Cap,140.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",32.77
Prev Close,88.56
Shares Outstanding,1.6B
Short Interest,0.0096
Today's Open,90.11
Volume,5489391.0
Volume 10-day Avg,6502125.0
Volume Past Day,(Below Average)
