,NKE
Next Earnings Announcement,2020-06-25 00:00:00
Growth Analysts,31.0
Growth 1yr Low Est,-0.34817813765182193
Growth 1yr High Est,-0.007462686567164201
Growth 1yr Consensus Est,-0.17782041210949306
Growth 2yr Low Est,-0.3324741619936128
Growth 2yr High Est,0.1541633935585231
Growth 2yr Consensus Est,-0.08915538421754485
Growth 5yr Low Est,-0.15360021284021416
Growth 5yr High Est,0.10013641667518805
Growth 5yr Consensus Est,-0.026731898082513056
Growth 5yr Actual/Est,0.028163378332758976
Growth 3yr Historic,-0.0014919401890346184
