,ROK
% Below High,0.0818
% Held by Institutions,0.767
52-Wk Range,['115.38 - 209.61']
Annual Dividend $,4.08
Annual Dividend %,0.021400000000000002
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.5
Bid,163.0
Bid Size,
Closing Price,192.45
Day Change $,1.43
Day Change %,0.0075
Day High,195.57
Day Low,191.9
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",6.07
Ex-dividend,2020-05-15 00:00:00
Ex-dividend Date,05/15/20
Historical Volatility,0.5
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,22.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.72
Prev Close,191.02
Shares Outstanding,115.8M
Short Interest,0.0277
Today's Open,194.48
Volume,698383.0
Volume 10-day Avg,1071877.0
Volume Past Day,(Light)
