,ROK
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.18816568047337268
Growth 1yr High Est,-0.11494252873563204
Growth 1yr Consensus Est,-0.15155410460450236
Growth 2yr Low Est,-0.12761053702968927
Growth 2yr High Est,0.02174951485296317
Growth 2yr Consensus Est,-0.05293051108836305
Growth 5yr Low Est,-0.0036990192242543074
Growth 5yr High Est,0.07501371390120448
Growth 5yr Consensus Est,0.03565734733847509
Growth 5yr Actual/Est,0.04091862254752285
Growth 3yr Historic,0.0671886742205911
