,ROK
Price/Earnings (TTM),31.72335
Price/Sales (TTM),3.29685
Price/Book (MRQ),35.89837
Price/Cash Flow (TTM),25.44848
5yr Low,87.53
5yr High,210.72
5yr Avg Return,0.11775000000000001
EPS Growth 5yr,-0.0028597
Revenue Growth 5yr,0.0021437
Dividend Growth 5yr,0.1083291
Short Int Current Month,3196093.0
Short Int Prev Month,2847245.0
Short Int Pct of Float,0.027705700000000003
Days to Cover,3.24492
Float,115.0713
Shares Outstanding,115.824
Institutions Holding Shares,1124.0
% Held by Institutions,0.7670170000000001
FCF Growth 5yr,0.012742284278942662
