,AKAM,Rating Since
newConstructs,3,2020-05-08
researchTeam,hold,2020-04-03
cfra,3,2018-03-09
theStreet,buy,2018-11-19
ford,2,2020-05-01
marketEdge opinion,long,2020-05-01
marketEdge,-2,2020-05-01
creditSuisse,neutral,2018-08-13
