,COO
Next Earnings Announcement,2020-06-04 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.1869918699186992
Growth 1yr High Est,0.06477732793522284
Growth 1yr Consensus Est,-0.06110727099173818
Growth 2yr Low Est,-0.02349593495934954
Growth 2yr High Est,0.09512630655316279
Growth 2yr Consensus Est,0.03581518579690662
Growth 5yr Low Est,0.0565567479580632
Growth 5yr High Est,0.11108423457009137
Growth 5yr Consensus Est,0.08382049126407728
Growth 5yr Actual/Est,0.0983745307082079
Growth 3yr Historic,0.06487001344688481
