,COO
Price/Earnings (TTM),33.76715
Price/Sales (TTM),6.06668
Price/Book (MRQ),4.00779
Price/Cash Flow (TTM),22.17724
5yr Low,119.28
5yr High,365.68
5yr Avg Return,0.11551666666666667
EPS Growth 5yr,0.1083305
Revenue Growth 5yr,0.09085549999999999
Dividend Growth 5yr,0.0
Short Int Current Month,744773.0
Short Int Prev Month,710497.0
Short Int Pct of Float,0.014039999999999999
Days to Cover,2.33774
Float,53.04829
Shares Outstanding,53.33045
Institutions Holding Shares,740.0
% Held by Institutions,0.91024
FCF Growth 5yr,0.3247463643841154
