,TSCO
% Below High,0.0616
% Held by Institutions,0.8602
52-Wk Range,['63.89 - 114.25']
Annual Dividend $,1.4
Annual Dividend %,0.013300000000000001
Ask,108.74
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.0
Bid,102.73
Bid Size,100.0
Closing Price,107.21
Day Change $,2.04
Day Change %,0.0194
Day High,107.82
Day Low,105.48
Dividend Pay Date,2020-06-09 00:00:00
"EPS (TTM, GAAP)",4.74
Ex-dividend,2020-05-22 00:00:00
Ex-dividend Date,05/22/20
Historical Volatility,0.37200000000000005
Last (size),4.0
Last (time),4:15p ET 05/08/20
Market Cap,12.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.6
Prev Close,105.17
Shares Outstanding,115.6M
Short Interest,0.0319
Today's Open,106.54
Volume,933149.0
Volume 10-day Avg,1567933.0
Volume Past Day,(Light)
