,TSCO
Price/Earnings (TTM),22.60017
Price/Sales (TTM),1.46533
Price/Book (MRQ),9.15447
Price/Cash Flow (TTM),16.13473
5yr Low,49.87
5yr High,114.25
5yr Avg Return,0.043
EPS Growth 5yr,0.1185522
Revenue Growth 5yr,0.0789568
Dividend Growth 5yr,0.173929
Short Int Current Month,3789945.0
Short Int Prev Month,2478114.0
Short Int Pct of Float,0.031921
Days to Cover,2.19379
Float,115.8806
Shares Outstanding,116.0247
Institutions Holding Shares,931.0
% Held by Institutions,0.860245
FCF Growth 5yr,0.2702525109913738
