,ESS
% Above Low,0.4029
% Held by Institutions,0.9784
52-Wk Range,['175.81 - 334.17']
Annual Dividend $,8.31
Annual Dividend %,0.0334
Ask,302.01
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,210.0
Bid Size,100.0
Closing Price,246.65
Day Change $,-2.41
Day Change %,-0.0097
Day High,254.84
Day Low,245.44
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",9.62
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.43100000000000005
Last (size),10900.0
Last (time),6:30p ET 05/08/20
Market Cap,16.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",25.9
Prev Close,249.06
Shares Outstanding,65.4M
Short Interest,0.0124
Today's Open,252.97
Volume,367391.0
Volume 10-day Avg,410091.0
Volume Past Day,(Below Average)
