,ESS
Price/Earnings (TTM),25.90163
Price/Sales (TTM),11.01594
Price/Book (MRQ),2.61579
Price/Cash Flow (TTM),14.17966
5yr Low,175.81
5yr High,334.17
5yr Avg Return,0.021433333333333332
EPS Growth 5yr,0.2644432
Revenue Growth 5yr,0.0850294
Dividend Growth 5yr,0.08960760000000001
Short Int Current Month,802697.0
Short Int Prev Month,777708.0
Short Int Pct of Float,0.0123919
Days to Cover,1.41217
Float,65.55184
Shares Outstanding,66.18137
Institutions Holding Shares,779.0
% Held by Institutions,0.9784470000000001
FCF Growth 5yr,-0.1234528418745264
