,CL
% Below High,0.1039
% Held by Institutions,0.7833
52-Wk Range,['58.49 - 77.41']
Annual Dividend $,1.76
Annual Dividend %,0.0256
Ask,70.3
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,69.37
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,69.37
Day Change $,0.57
Day Change %,0.0083
Day High,69.82
Day Low,68.78
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",2.93
Ex-dividend,2020-04-17 00:00:00
Ex-dividend Date,04/17/20
Historical Volatility,0.319
Last (size),105.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,59.4B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",23.45
Prev Close,68.8
Shares Outstanding,856.5M
Short Interest,0.0115
Today's Open,69.75
Volume,3938963.0
Volume 10-day Avg,4157461.0
Volume Past Day,(Average)
