,CL
Next Earnings Announcement,2020-07-31 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-0.021582733812949506
Growth 1yr High Est,0.045454545454545636
Growth 1yr Consensus Est,0.011935905820798065
Growth 2yr Low Est,0.022296868387642887
Growth 2yr High Est,0.066205533596838
Growth 2yr Consensus Est,0.04425120099224045
Growth 5yr Low Est,0.009108828315883055
Growth 5yr High Est,0.03127591376618441
Growth 5yr Consensus Est,0.020192371041033733
Growth 5yr Actual/Est,0.01613930102252087
Growth 3yr Historic,-0.0030737103907835794
