,CL
Price/Earnings (TTM),23.44826
Price/Sales (TTM),3.70484
Price/Book (MRQ),
Price/Cash Flow (TTM),18.42112
5yr Low,50.84
5yr High,77.91
5yr Avg Return,0.015233333333333335
EPS Growth 5yr,0.0310988
Revenue Growth 5yr,-0.0190485
Dividend Growth 5yr,0.0378666
Short Int Current Month,9861119.0
Short Int Prev Month,10218173.0
Short Int Pct of Float,0.0115148
Days to Cover,2.3531
Float,855.4235
Shares Outstanding,856.5284
Institutions Holding Shares,1930.0
% Held by Institutions,0.783318
FCF Growth 5yr,0.04510125999148451
