,NLOK
Next Earnings Announcement,2020-05-14 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,-0.49375
Growth 1yr High Est,-0.49390243902439024
Growth 1yr Consensus Est,-0.49382621951219513
Growth 2yr Low Est,-0.22218364197530865
Growth 2yr High Est,0.0723258889215399
Growth 2yr Consensus Est,-0.07492887652688437
Growth 5yr Low Est,-0.02210877014019666
Growth 5yr High Est,0.12222851823126174
Growth 5yr Consensus Est,0.05005987404553254
Growth 5yr Actual/Est,0.12688954472033942
Growth 3yr Historic,-0.05319175609266874
