,NLOK,Rating Since
newConstructs,3,2020-05-08
researchTeam,reduce,2019-10-28
cfra,3,2019-12-12
ford,2,2020-05-01
theStreet,buy,2020-02-07
creditSuisse,neutral,2019-11-27
marketEdge,,
